,lat,lng
1,40.7035418,-74.0076801
2,40.7098978,-74.0123761
3,40.7099778,-74.0054139
4,40.715306,-74.006233
5,40.7195662,-74.0066152
6,40.7153116,-73.9928958
7,40.7165272,-73.983613
8,40.7218503,-73.9825439
9,40.7314264,-73.9834543
10,40.719807,-73.995771
11,40.7229545,-73.996554
12,40.728062,-74.00353
13,40.727002,-73.992513
14,40.7331055,-73.9894275
15,40.7344378,-74.0003558
16,40.7565438,-73.9965003
17,40.7532056,-73.990435
18,40.7413287,-73.9968187
19,40.7484918,-73.991091
20,40.7379581,-73.9910001
21,40.7419058,-73.978843
22,40.7486678,-73.9740047
23,40.7607764,-73.9868279
24,40.7667707,-73.9803517
25,40.7607499,-73.9965515
26,40.7743385,-73.9842884
27,40.7823022,-73.9798141
28,40.784717,-73.9745452
29,40.7550513,-73.9819037
30,40.7567621,-73.9707858
31,40.767252,-73.963526
32,40.7714788,-73.9581319
33,40.778705,-73.955219
34,40.798909,-73.947321
35,40.73069,-73.989446
36,40.7938516,-73.9407365
37,40.8036804,-73.9368779
38,40.796506,-73.9673459
39,40.804903,-73.9631069
40,40.8133419,-73.9424247
41,40.811949,-73.954592
42,40.820842,-73.94182
43,40.8218743,-73.9507981
44,40.835826,-73.9410595
45,40.8413976,-73.9371276
46,40.8487215,-73.9316627
47,40.8649326,-73.9251764
48,40.7127837,-74.0059413
49,40.81316,-73.922102
50,40.817244,-73.920125
51,40.8202629,-73.9156807
52,40.8297492,-73.9080513
53,40.8346821,-73.9136278
54,40.8349364,-73.9279282
55,40.836666,-73.926892
56,40.8305955,-73.9005868
57,40.8152121,-73.9036212
58,40.818587,-73.887758
59,40.8463463,-73.9066417
60,40.8546641,-73.917233
61,40.841216,-73.9014888
62,40.8439297,-73.9002489
63,40.8463909,-73.899232
64,40.8285459,-73.8951926
65,40.8592247,-73.8938922
66,40.8519069,-73.8877634
67,40.841996,-73.883413
68,40.85621,-73.904416
69,40.8770109,-73.9036969
70,40.8704622,-73.8867985
71,40.8230216,-73.8693452
72,40.8324222,-73.8509518
73,40.8463847,-73.8665601
74,40.8450368,-73.8464422
75,40.859335,-73.844153
76,40.876299,-73.867402
77,40.877975,-73.846486
78,40.8927705,-73.8553758
79,40.8697601,-73.8310667
80,40.8333888,-73.8272695
81,40.8212865,-73.81821
82,40.845563,-73.784666
83,40.6954934,-73.9828457
84,40.687122,-73.982712
85,40.700056,-73.9922746
86,40.6931066,-73.997134
87,40.6721581,-73.9995768
88,40.6803279,-74.0063674
89,40.7569426,-73.9950525
90,40.645383,-74.013266
91,40.6746755,-73.9766066
92,40.671728,-73.987088
93,40.664826,-73.98148
94,40.6812809,-73.97375
96,40.6750659,-73.9350704
98,40.674779,-73.921712
99,40.6826552,-73.911499
100,40.692658,-73.937972
101,40.6894151,-73.9241594
102,40.684392,-73.935728
103,40.7692421,-73.9648507
104,40.7124558,-73.9839195
105,40.695572,-73.956658
106,40.7051744,-73.9716272
107,40.692788,-73.973076
108,40.7014106,-73.9623358
109,40.7131156,-73.9612204
110,40.7060285,-73.9504792
111,40.7307502,-73.9512091
112,40.7185512,-73.9490497
113,40.7132883,-73.9776201
114,40.705258,-73.931896
115,40.6983157,-73.9265814
116,40.703612,-73.915983
117,40.6965386,-73.9143914
118,40.688674,-73.908174
119,40.6705588,-73.9079533
120,40.6615167,-73.9180868
121,40.6754486,-73.8926117
122,40.6651299,-73.8954416
123,40.677683,-73.8727751
124,40.6693938,-73.8653153
125,40.650404,-73.928905
126,40.660244,-73.953206
127,40.6488905,-73.9498799
128,40.639955,-73.96661
129,40.636435,-73.9506229
130,40.6512173,-73.9756121
131,40.7599141,-74.0026565
132,40.6281083,-73.9976388
133,40.7286292,-73.9906154
134,40.7644781,-73.9729109
135,40.7703059,-73.9478224
136,40.6060689,-74.0035139
137,40.6278928,-73.9757242
138,40.6121364,-73.9791471
139,40.7274905,-73.9738494
140,40.5989492,-73.9885169
141,40.5777659,-73.992974
142,40.5984679,-73.961949
143,40.576185,-73.9764676
144,40.646569,-73.9035544
145,40.6200912,-73.9158405
146,40.6152753,-73.9281644
147,40.5842565,-73.9593845
148,40.6022948,-73.9351784
149,40.7450913,-73.9516298
150,40.7452663,-73.9136626
151,40.7362399,-73.9329916
152,40.759628,-73.9400722
153,40.7457702,-73.9883165
154,40.76753,-73.9292339
155,40.7684974,-73.9087674
156,40.773351,-73.910324
157,40.755801,-73.885599
158,40.746231,-73.8653303
159,40.762381,-73.869066
160,40.7379703,-73.8519358
161,40.740667,-73.900988
162,40.726071,-73.896244
163,40.736446,-73.8788476
164,40.712955,-73.906695
165,40.7182494,-73.83773
166,40.701214,-73.886629
167,40.7124599,-73.8749401
168,40.785008,-73.848043
169,40.7889438,-73.8160616
170,40.759876,-73.826577
171,40.762476,-73.812914
172,40.76332,-73.786972
173,40.7639186,-73.7697435
174,40.720039,-73.807718
175,40.7381529,-73.793348
176,40.7470394,-73.756021
177,40.766804,-73.742237
178,40.7445637,-73.7161452
179,40.688597,-73.856055
180,40.6825115,-73.8420041
181,40.694698,-73.84615
182,40.6952659,-73.825863
183,40.6839841,-73.8231445
184,40.7075985,-73.8041598
185,40.693528,-73.806901
186,40.69345,-73.781083
187,40.7144959,-73.7627639
188,40.716831,-73.735969
189,40.674054,-73.795027
190,40.693105,-73.755573
191,40.663559,-73.759809
192,40.664157,-73.740886
193,40.6592278,-73.8395335
194,40.604503,-73.752285
195,40.5933855,-73.7788889
196,40.5862594,-73.8162093
197,40.5807302,-73.8381659
198,40.7607885,-73.7973246
199,40.6442121,-74.0725262
200,40.637551,-74.087742
201,40.6343699,-74.122016
202,40.7189113,-74.00176
203,40.6152507,-74.1306908
204,40.7046305,-74.011872
205,40.5760689,-74.1238075
206,40.63627,-74.13537
207,40.635244,-74.159912
208,40.6142393,-74.1580944
209,40.5978645,-74.1804865
210,40.611657,-74.0704072
211,40.911126,-73.8895639
212,40.607327,-74.0892022
213,40.5906383,-74.1006333
214,40.543113,-74.147387
215,40.5541977,-74.1754935
216,40.5352997,-74.1959848
217,40.553739,-74.213478
