"Date" "Freq" "Day" "Month" "Week"
"109" 2015-04-19 1656 "Sun" "04" 2015-04-13
"110" 2015-04-20 680 "Mon" "04" 2015-04-20
"111" 2015-04-21 755 "Tue" "04" 2015-04-20
"112" 2015-04-22 791 "Wed" "04" 2015-04-20
"113" 2015-04-23 684 "Thu" "04" 2015-04-20
"114" 2015-04-24 838 "Fri" "04" 2015-04-20
"115" 2015-04-25 1693 "Sat" "04" 2015-04-20
"116" 2015-04-26 1663 "Sun" "04" 2015-04-20
"117" 2015-04-27 780 "Mon" "04" 2015-04-27
"118" 2015-04-28 965 "Tue" "04" 2015-04-27
"119" 2015-04-29 996 "Wed" "04" 2015-04-27
"120" 2015-04-30 842 "Thu" "04" 2015-04-27
"121" 2015-05-01 1095 "Fri" "05" 2015-04-27
"122" 2015-05-02 1686 "Sat" "05" 2015-04-27
"123" 2015-05-03 2186 "Sun" "05" 2015-04-27
"124" 2015-05-04 1064 "Mon" "05" 2015-05-04
"125" 2015-05-05 1063 "Tue" "05" 2015-05-04
"126" 2015-05-06 1045 "Wed" "05" 2015-05-04
"127" 2015-05-07 1102 "Thu" "05" 2015-05-04
"128" 2015-05-08 1407 "Fri" "05" 2015-05-04
"129" 2015-05-09 2170 "Sat" "05" 2015-05-04
"130" 2015-05-10 2633 "Sun" "05" 2015-05-04
"131" 2015-05-11 1030 "Mon" "05" 2015-05-11
"132" 2015-05-12 954 "Tue" "05" 2015-05-11
"133" 2015-05-13 753 "Wed" "05" 2015-05-11
"134" 2015-05-14 1001 "Thu" "05" 2015-05-11
"135" 2015-05-15 1289 "Fri" "05" 2015-05-11
"136" 2015-05-16 1860 "Sat" "05" 2015-05-11
"137" 2015-05-17 1592 "Sun" "05" 2015-05-11
"138" 2015-05-18 917 "Mon" "05" 2015-05-18
"139" 2015-05-19 906 "Tue" "05" 2015-05-18
"140" 2015-05-20 793 "Wed" "05" 2015-05-18
"141" 2015-05-21 819 "Thu" "05" 2015-05-18
"142" 2015-05-22 1138 "Fri" "05" 2015-05-18
"143" 2015-05-23 1982 "Sat" "05" 2015-05-18
"144" 2015-05-24 2623 "Sun" "05" 2015-05-18
"145" 2015-05-25 2551 "Mon" "05" 2015-05-25
"146" 2015-05-26 1002 "Tue" "05" 2015-05-25
"147" 2015-05-27 777 "Wed" "05" 2015-05-25
"148" 2015-05-28 929 "Thu" "05" 2015-05-25
"149" 2015-05-29 1297 "Fri" "05" 2015-05-25
"150" 2015-05-30 2345 "Sat" "05" 2015-05-25
"151" 2015-05-31 1549 "Sun" "05" 2015-05-25
"152" 2015-06-01 623 "Mon" "06" 2015-06-01
"153" 2015-06-02 667 "Tue" "06" 2015-06-01
"154" 2015-06-03 849 "Wed" "06" 2015-06-01
"155" 2015-06-04 960 "Thu" "06" 2015-06-01
"156" 2015-06-05 1189 "Fri" "06" 2015-06-01
"157" 2015-06-06 2570 "Sat" "06" 2015-06-01
"158" 2015-06-07 2413 "Sun" "06" 2015-06-01
"159" 2015-06-08 906 "Mon" "06" 2015-06-08
"160" 2015-06-09 867 "Tue" "06" 2015-06-08
"161" 2015-06-10 1054 "Wed" "06" 2015-06-08
"162" 2015-06-11 837 "Thu" "06" 2015-06-08
"163" 2015-06-12 1012 "Fri" "06" 2015-06-08
"164" 2015-06-13 2080 "Sat" "06" 2015-06-08
"165" 2015-06-14 1823 "Sun" "06" 2015-06-08
"166" 2015-06-15 629 "Mon" "06" 2015-06-15
"167" 2015-06-16 644 "Tue" "06" 2015-06-15
"168" 2015-06-17 816 "Wed" "06" 2015-06-15
"169" 2015-06-18 910 "Thu" "06" 2015-06-15
"170" 2015-06-19 1148 "Fri" "06" 2015-06-15
"171" 2015-06-20 2075 "Sat" "06" 2015-06-15
"172" 2015-06-21 2241 "Sun" "06" 2015-06-15
"173" 2015-06-22 894 "Mon" "06" 2015-06-22
"174" 2015-06-23 708 "Tue" "06" 2015-06-22
"175" 2015-06-24 940 "Wed" "06" 2015-06-22
"176" 2015-06-25 966 "Thu" "06" 2015-06-22
"177" 2015-06-26 1256 "Fri" "06" 2015-06-22
"178" 2015-06-27 1620 "Sat" "06" 2015-06-22
"179" 2015-06-28 1776 "Sun" "06" 2015-06-22
"180" 2015-06-29 1098 "Mon" "06" 2015-06-29
"181" 2015-06-30 949 "Tue" "06" 2015-06-29
"182" 2015-07-01 985 "Wed" "07" 2015-06-29
"183" 2015-07-02 1006 "Thu" "07" 2015-06-29
"184" 2015-07-03 1554 "Fri" "07" 2015-06-29
"185" 2015-07-04 2325 "Sat" "07" 2015-06-29
"186" 2015-07-05 2266 "Sun" "07" 2015-06-29
"187" 2015-07-06 808 "Mon" "07" 2015-07-06
"188" 2015-07-07 647 "Tue" "07" 2015-07-06
"189" 2015-07-08 695 "Wed" "07" 2015-07-06
"190" 2015-07-09 652 "Thu" "07" 2015-07-06
"191" 2015-07-10 1044 "Fri" "07" 2015-07-06
"192" 2015-07-11 1997 "Sat" "07" 2015-07-06
"193" 2015-07-12 1950 "Sun" "07" 2015-07-06
"194" 2015-07-13 789 "Mon" "07" 2015-07-13
"195" 2015-07-14 690 "Tue" "07" 2015-07-13
"196" 2015-07-15 747 "Wed" "07" 2015-07-13
"197" 2015-07-16 1031 "Thu" "07" 2015-07-13
"198" 2015-07-17 1178 "Fri" "07" 2015-07-13
"199" 2015-07-18 2023 "Sat" "07" 2015-07-13
"200" 2015-07-19 1305 "Sun" "07" 2015-07-13
"201" 2015-07-20 581 "Mon" "07" 2015-07-20
"202" 2015-07-21 582 "Tue" "07" 2015-07-20
"203" 2015-07-22 799 "Wed" "07" 2015-07-20
"204" 2015-07-23 932 "Thu" "07" 2015-07-20
"205" 2015-07-24 1085 "Fri" "07" 2015-07-20
"206" 2015-07-25 2190 "Sat" "07" 2015-07-20
"207" 2015-07-26 1375 "Sun" "07" 2015-07-20
"208" 2015-07-27 923 "Mon" "07" 2015-07-27
"209" 2015-07-28 656 "Tue" "07" 2015-07-27
"210" 2015-07-29 659 "Wed" "07" 2015-07-27
"211" 2015-07-30 614 "Thu" "07" 2015-07-27
"212" 2015-07-31 949 "Fri" "07" 2015-07-27
"213" 2015-08-01 1783 "Sat" "08" 2015-07-27
"214" 2015-08-02 1623 "Sun" "08" 2015-07-27
"215" 2015-08-03 700 "Mon" "08" 2015-08-03
"216" 2015-08-04 756 "Tue" "08" 2015-08-03
"217" 2015-08-05 767 "Wed" "08" 2015-08-03
"218" 2015-08-06 855 "Thu" "08" 2015-08-03
"219" 2015-08-07 1079 "Fri" "08" 2015-08-03
"220" 2015-08-08 2171 "Sat" "08" 2015-08-03
"221" 2015-08-09 1998 "Sun" "08" 2015-08-03
"222" 2015-08-10 813 "Mon" "08" 2015-08-10
"223" 2015-08-11 576 "Tue" "08" 2015-08-10
"224" 2015-08-12 768 "Wed" "08" 2015-08-10
"225" 2015-08-13 892 "Thu" "08" 2015-08-10
"226" 2015-08-14 1186 "Fri" "08" 2015-08-10
"227" 2015-08-15 2078 "Sat" "08" 2015-08-10
"228" 2015-08-16 1735 "Sun" "08" 2015-08-10
"229" 2015-08-17 655 "Mon" "08" 2015-08-17
"230" 2015-08-18 714 "Tue" "08" 2015-08-17
"231" 2015-08-19 658 "Wed" "08" 2015-08-17
"232" 2015-08-20 780 "Thu" "08" 2015-08-17
"233" 2015-08-21 998 "Fri" "08" 2015-08-17
"234" 2015-08-22 2234 "Sat" "08" 2015-08-17
"235" 2015-08-23 2027 "Sun" "08" 2015-08-17
"236" 2015-08-24 746 "Mon" "08" 2015-08-24
"237" 2015-08-25 799 "Tue" "08" 2015-08-24
"238" 2015-08-26 826 "Wed" "08" 2015-08-24
"239" 2015-08-27 948 "Thu" "08" 2015-08-24
"240" 2015-08-28 1288 "Fri" "08" 2015-08-24
"241" 2015-08-29 2431 "Sat" "08" 2015-08-24
"242" 2015-08-30 2014 "Sun" "08" 2015-08-24
"243" 2015-08-31 698 "Mon" "08" 2015-08-31
"244" 2015-09-01 673 "Tue" "09" 2015-08-31
"245" 2015-09-02 743 "Wed" "09" 2015-08-31
"246" 2015-09-03 656 "Thu" "09" 2015-08-31
"247" 2015-09-04 1046 "Fri" "09" 2015-08-31
"248" 2015-09-05 2078 "Sat" "09" 2015-08-31
"249" 2015-09-06 2570 "Sun" "09" 2015-08-31
"250" 2015-09-07 2072 "Mon" "09" 2015-09-07
"251" 2015-09-08 593 "Tue" "09" 2015-09-07
"252" 2015-09-09 556 "Wed" "09" 2015-09-07
"253" 2015-09-10 480 "Thu" "09" 2015-09-07
"254" 2015-09-11 1010 "Fri" "09" 2015-09-07
"255" 2015-09-12 1674 "Sat" "09" 2015-09-07
"256" 2015-09-13 1547 "Sun" "09" 2015-09-07
"257" 2015-09-14 869 "Mon" "09" 2015-09-14
"258" 2015-09-15 912 "Tue" "09" 2015-09-14
"259" 2015-09-16 892 "Wed" "09" 2015-09-14
"260" 2015-09-17 855 "Thu" "09" 2015-09-14
"261" 2015-09-18 1121 "Fri" "09" 2015-09-14
"262" 2015-09-19 2233 "Sat" "09" 2015-09-14
"263" 2015-09-20 1962 "Sun" "09" 2015-09-14
"264" 2015-09-21 866 "Mon" "09" 2015-09-21
"265" 2015-09-22 930 "Tue" "09" 2015-09-21
"266" 2015-09-23 1114 "Wed" "09" 2015-09-21
"267" 2015-09-24 1126 "Thu" "09" 2015-09-21
"268" 2015-09-25 1325 "Fri" "09" 2015-09-21
"269" 2015-09-26 2518 "Sat" "09" 2015-09-21
"270" 2015-09-27 2174 "Sun" "09" 2015-09-21
"271" 2015-09-28 884 "Mon" "09" 2015-09-28
"272" 2015-09-29 722 "Tue" "09" 2015-09-28
"273" 2015-09-30 655 "Wed" "09" 2015-09-28
"274" 2015-10-01 746 "Thu" "10" 2015-09-28
"275" 2015-10-02 718 "Fri" "10" 2015-09-28
"276" 2015-10-03 1314 "Sat" "10" 2015-09-28
"277" 2015-10-04 1492 "Sun" "10" 2015-09-28
"278" 2015-10-05 785 "Mon" "10" 2015-10-05
"279" 2015-10-06 874 "Tue" "10" 2015-10-05
"280" 2015-10-07 870 "Wed" "10" 2015-10-05
"281" 2015-10-08 917 "Thu" "10" 2015-10-05
"282" 2015-10-09 963 "Fri" "10" 2015-10-05
"283" 2015-10-10 1703 "Sat" "10" 2015-10-05
"284" 2015-10-11 1837 "Sun" "10" 2015-10-05
"285" 2015-10-12 1021 "Mon" "10" 2015-10-12
"286" 2015-10-13 855 "Tue" "10" 2015-10-12
"287" 2015-10-14 878 "Wed" "10" 2015-10-12
"288" 2015-10-15 743 "Thu" "10" 2015-10-12
"289" 2015-10-16 1112 "Fri" "10" 2015-10-12
"290" 2015-10-17 1579 "Sat" "10" 2015-10-12
"291" 2015-10-18 1302 "Sun" "10" 2015-10-12
"292" 2015-10-19 703 "Mon" "10" 2015-10-19
"293" 2015-10-20 783 "Tue" "10" 2015-10-19
"294" 2015-10-21 944 "Wed" "10" 2015-10-19
"295" 2015-10-22 996 "Thu" "10" 2015-10-19
"296" 2015-10-23 1022 "Fri" "10" 2015-10-19
"297" 2015-10-24 1723 "Sat" "10" 2015-10-19
"298" 2015-10-25 1614 "Sun" "10" 2015-10-19
"299" 2015-10-26 755 "Mon" "10" 2015-10-26
"300" 2015-10-27 742 "Tue" "10" 2015-10-26
"301" 2015-10-28 605 "Wed" "10" 2015-10-26
"302" 2015-10-29 776 "Thu" "10" 2015-10-26
"303" 2015-10-30 1006 "Fri" "10" 2015-10-26
"304" 2015-10-31 1739 "Sat" "10" 2015-10-26
"305" 2015-11-01 1646 "Sun" "11" 2015-10-26
"306" 2015-11-02 759 "Mon" "11" 2015-11-02
"307" 2015-11-03 903 "Tue" "11" 2015-11-02
"308" 2015-11-04 807 "Wed" "11" 2015-11-02
"309" 2015-11-05 861 "Thu" "11" 2015-11-02
"310" 2015-11-06 1280 "Fri" "11" 2015-11-02
"311" 2015-11-07 1825 "Sat" "11" 2015-11-02
"312" 2015-11-08 1417 "Sun" "11" 2015-11-02
"313" 2015-11-09 751 "Mon" "11" 2015-11-09
"314" 2015-11-10 651 "Tue" "11" 2015-11-09
"315" 2015-11-11 761 "Wed" "11" 2015-11-09
"316" 2015-11-12 755 "Thu" "11" 2015-11-09
"317" 2015-11-13 882 "Fri" "11" 2015-11-09
"318" 2015-11-14 1467 "Sat" "11" 2015-11-09
"319" 2015-11-15 1408 "Sun" "11" 2015-11-09
"320" 2015-11-16 824 "Mon" "11" 2015-11-16
"321" 2015-11-17 786 "Tue" "11" 2015-11-16
"322" 2015-11-18 807 "Wed" "11" 2015-11-16
"323" 2015-11-19 725 "Thu" "11" 2015-11-16
"324" 2015-11-20 897 "Fri" "11" 2015-11-16
"325" 2015-11-21 1547 "Sat" "11" 2015-11-16
"326" 2015-11-22 1351 "Sun" "11" 2015-11-16
"327" 2015-11-23 598 "Mon" "11" 2015-11-23
"328" 2015-11-24 687 "Tue" "11" 2015-11-23
"329" 2015-11-25 787 "Wed" "11" 2015-11-23
"330" 2015-11-26 1198 "Thu" "11" 2015-11-23
"331" 2015-11-27 1114 "Fri" "11" 2015-11-23
"332" 2015-11-28 1159 "Sat" "11" 2015-11-23
"333" 2015-11-29 1128 "Sun" "11" 2015-11-23
"334" 2015-11-30 640 "Mon" "11" 2015-11-30
"335" 2015-12-01 585 "Tue" "12" 2015-11-30
"336" 2015-12-02 728 "Wed" "12" 2015-11-30
"337" 2015-12-03 735 "Thu" "12" 2015-11-30
"338" 2015-12-04 908 "Fri" "12" 2015-11-30
"339" 2015-12-05 1543 "Sat" "12" 2015-11-30
"340" 2015-12-06 1423 "Sun" "12" 2015-11-30
"341" 2015-12-07 784 "Mon" "12" 2015-12-07
"342" 2015-12-08 734 "Tue" "12" 2015-12-07
"343" 2015-12-09 779 "Wed" "12" 2015-12-07
"344" 2015-12-10 763 "Thu" "12" 2015-12-07
"345" 2015-12-11 1026 "Fri" "12" 2015-12-07
"346" 2015-12-12 2015 "Sat" "12" 2015-12-07
"347" 2015-12-13 1680 "Sun" "12" 2015-12-07
"348" 2015-12-14 696 "Mon" "12" 2015-12-14
"349" 2015-12-15 696 "Tue" "12" 2015-12-14
"350" 2015-12-16 783 "Wed" "12" 2015-12-14
"351" 2015-12-17 738 "Thu" "12" 2015-12-14
"352" 2015-12-18 862 "Fri" "12" 2015-12-14
"353" 2015-12-19 1308 "Sat" "12" 2015-12-14
"354" 2015-12-20 1187 "Sun" "12" 2015-12-14
"355" 2015-12-21 626 "Mon" "12" 2015-12-21
"356" 2015-12-22 695 "Tue" "12" 2015-12-21
"357" 2015-12-23 704 "Wed" "12" 2015-12-21
"358" 2015-12-24 1095 "Thu" "12" 2015-12-21
"359" 2015-12-25 1744 "Fri" "12" 2015-12-21
"360" 2015-12-26 1065 "Sat" "12" 2015-12-21
"361" 2015-12-27 1102 "Sun" "12" 2015-12-21
"362" 2015-12-28 735 "Mon" "12" 2015-12-28
"363" 2015-12-29 692 "Tue" "12" 2015-12-28
"364" 2015-12-30 827 "Wed" "12" 2015-12-28
"365" 2015-12-31 1 "Thu" "12" 2015-12-28
